"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","participant_gender","stimulus","response","timeout","failed_images","failed_audio","failed_video","figure","difficulty","response_time_seconds","text_response","word_count","response_index","question_order"
"true","1827","fullscreen","0","null","2850","plxr30ek62n","","","","","","","","","","","","","","",""
"","13761","html-keyboard-response","1","2.0.0","16613","plxr30ek62n","","","
    <div>
      <p>Welcome to our experiment!</p>
      <p>In each trial, you will see a shape. Describe the shape as accurately as you can in the provided textbox.</p>
      <p>Your description can be as long or as short as you’d like, from just a few words up to a whole paragraph if you feel that is necessary.</p>
      <p></p>
      <p>The next page will ask for participant ID.</p>
      <p></p>
      <p>After all the trials have been completed, the last page will ask for some demographic information.</p>
      <p></p>
      <p>Once you are ready to start, click any button.</p>
    </div>"," ","","","","","","","","","","",""
"","7232","survey-text","2","2.0.0","23851","plxr30ek62n","","","","{""participant_id"":""A18534325""}","","","","","","","","","","",""
"true","","preload","3","2.0.0","24006","plxr30ek62n","","","","","false","[]","[]","[]","","","","","","",""
"","59491","survey-text","4","2.0.0","83506","plxr30ek62n","","","","{""image_description"":""it looks like a hexagon meets a house. like a triangle on top and more of a square look at the bottom with some cutouts.""}","","","","","stimuli/107.jpg","hard","NaN","it looks like a hexagon meets a house. like a triangle on top and more of a square look at the bottom with some cutouts.","25","",""
"","42725","survey-text","5","2.0.0","126235","plxr30ek62n","","","","{""image_description"":""the very left looks like a boba cup and the rest looks like a sharp tooth like the one you'd see in a dentist office as decor in a way.""}","","","","","stimuli/59.jpg","medium","NaN","the very left looks like a boba cup and the rest looks like a sharp tooth like the one you'd see in a dentist office as decor in a way.","30","",""
"","24922","survey-text","6","2.0.0","151160","plxr30ek62n","","","","{""image_description"":""this looks like a christmas tree a bit with a mix of a graduation cap on top.""}","","","","","stimuli/147.jpg","hard","NaN","this looks like a christmas tree a bit with a mix of a graduation cap on top.","17","",""
"","44522","survey-text","7","2.0.0","195686","plxr30ek62n","","","","{""image_description"":""it looks like a snail/slug with a sharp tail and a head like picachoo""}","","","","","stimuli/83.jpg","medium","NaN","it looks like a snail/slug with a sharp tail and a head like picachoo","14","",""
"","23555","survey-text","8","2.0.0","219245","plxr30ek62n","","","","{""image_description"":""this looks like a deformed bird. one wing bigger than the other with the head down and tail looking rather normal""}","","","","","stimuli/131.jpg","hard","NaN","this looks like a deformed bird. one wing bigger than the other with the head down and tail looking rather normal","21","",""
"","29529","survey-text","9","2.0.0","248777","plxr30ek62n","","","","{""image_description"":""it looks like a rhombus plus some extra square piece added to the top left.""}","","","","","stimuli/27.jpg","easy","NaN","it looks like a rhombus plus some extra square piece added to the top left.","15","",""
"","29828","survey-text","10","2.0.0","278608","plxr30ek62n","","","","{""image_description"":""this looks like a jet that has diamonds/squares for a wing and a jet head and tail that fairly normal.""}","","","","","stimuli/75.jpg","medium","NaN","this looks like a jet that has diamonds/squares for a wing and a jet head and tail that fairly normal.","20","",""
"","16584","survey-text","11","2.0.0","295195","plxr30ek62n","","","","{""image_description"":""it looks like a piece of paper with one edge crumpled up a bit.""}","","","","","stimuli/35.jpg","easy","NaN","it looks like a piece of paper with one edge crumpled up a bit.","14","",""
"","41653","survey-text","12","2.0.0","336851","plxr30ek62n","","","","{""image_description"":""it looks like pacman or like a pair of pants if you look at it sideways. One leg is huge and the other is exceptionally pointy.""}","","","","","stimuli/43.jpg","easy","NaN","it looks like pacman or like a pair of pants if you look at it sideways. One leg is huge and the other is exceptionally pointy.","26","",""
"","32634","survey-text","13","2.0.0","369488","plxr30ek62n","","","","{""image_description"":""this looks like the air freshener tree that hangs in cars. it just super top heavy.""}","","","","","stimuli/115.jpg","hard","NaN","this looks like the air freshener tree that hangs in cars. it just super top heavy.","16","",""
"","5828","survey-text","14","2.0.0","375319","plxr30ek62n","","","","{""image_description"":""triangle at an angle""}","","","","","stimuli/3.jpg","easy","NaN","triangle at an angle","4","",""
"","14295","survey-text","15","2.0.0","389617","plxr30ek62n","","","","{""image_description"":""diamond but at an angle""}","","","","","stimuli/11.jpg","easy","NaN","diamond but at an angle","5","",""
"","18647","survey-text","16","2.0.0","408266","plxr30ek62n","","","","{""image_description"":""rhombus meets right triangle connected together""}","","","","","stimuli/19.jpg","easy","NaN","rhombus meets right triangle connected together","6","",""
"","16838","survey-text","17","2.0.0","425107","plxr30ek62n","","","","{""image_description"":""floor layout of a home, with random triangle sticking out.""}","","","","","stimuli/67.jpg","medium","NaN","floor layout of a home, with random triangle sticking out.","10","",""
"","45411","survey-text","18","2.0.0","470521","plxr30ek62n","","","","{""image_description"":""a bunch of random shapes put together. triangles, squares, rhombus all joint together in the middle.""}","","","","","stimuli/123.jpg","hard","NaN","a bunch of random shapes put together. triangles, squares, rhombus all joint together in the middle.","16","",""
"","51902","survey-text","19","2.0.0","522425","plxr30ek62n","","","","{""image_description"":""it looks like it needs to have an axe or hammer fill it in to be a complete shape""}","","","","","stimuli/91.jpg","medium","NaN","it looks like it needs to have an axe or hammer fill it in to be a complete shape","19","",""
"","51125","survey-text","20","2.0.0","573553","plxr30ek62n","","","","{""image_description"":""this looks like a pony from my little pony and it has some hairy feet and a boxy midsection.""}","","","","","stimuli/155.jpg","hard","NaN","this looks like a pony from my little pony and it has some hairy feet and a boxy midsection.","19","",""
"","24139","survey-text","21","2.0.0","597695","plxr30ek62n","","","","{""image_description"":""it looks like a lamp with a couple of triangles hanging up and down where the head of the light should be.""}","","","","","stimuli/99.jpg","medium","NaN","it looks like a lamp with a couple of triangles hanging up and down where the head of the light should be.","22","",""
"","13191","survey-text","22","2.0.0","610889","plxr30ek62n","","","","{""image_description"":""paper plane unfolded""}","","","","","stimuli/51.jpg","easy","NaN","paper plane unfolded","3","",""
"","31704","survey-text","23","2.0.0","642596","plxr30ek62n","","","","{""image_description"":""microscope or the monkey with the plates that ring and you have to wind up to get it moving and clapping.""}","","","","","stimuli/139.jpg","hard","NaN","microscope or the monkey with the plates that ring and you have to wind up to get it moving and clapping.","21","",""
"","15236","survey-text","24","2.0.0","657835","plxr30ek62n","","","","{""participant_major"":""Cognitive behavioral neuroscience""}","","","","","","","","","","",""
"","2921","survey-multi-choice","25","2.2.0","660761","plxr30ek62n","","","","{""participant_gender"":""Female""}","","","","","","","","","","[0]","[0]"
