"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","participant_gender","stimulus","response","timeout","failed_images","failed_audio","failed_video","figure","difficulty","response_time_seconds","text_response","word_count","response_index","question_order"
"true","1794","fullscreen","0","null","2804","pjebaekqr9v","","","","","","","","","","","","","","",""
"","6757","html-keyboard-response","1","2.0.0","9563","pjebaekqr9v","","","
    <div>
      <p>Welcome to our experiment!</p>
      <p>In each trial, you will see a shape. Describe the shape as accurately as you can in the provided textbox.</p>
      <p>Your description can be as long or as short as you’d like, from just a few words up to a whole paragraph if you feel that is necessary.</p>
      <p></p>
      <p>The next page will ask for participant ID.</p>
      <p></p>
      <p>After all the trials have been completed, the last page will ask for some demographic information.</p>
      <p></p>
      <p>Once you are ready to start, click any button.</p>
    </div>"," ","","","","","","","","","","",""
"","5159","survey-text","2","2.0.0","14731","pjebaekqr9v","","","","{""participant_id"":""beaver""}","","","","","","","","","","",""
"true","","preload","3","2.0.0","14825","pjebaekqr9v","","","","","false","[]","[]","[]","","","","","","",""
"","89704","survey-text","4","2.0.0","104552","pjebaekqr9v","","","","{""image_description"":""Like a trapezoid on the bottom and almost crown or mountain on the top, with three angular peaks on top and 8 total edges""}","","","","","stimuli/34.jpg","easy","NaN","Like a trapezoid on the bottom and almost crown or mountain on the top, with three angular peaks on top and 8 total edges","24","",""
"","96112","survey-text","5","2.0.0","200684","pjebaekqr9v","","","","{""image_description"":""Angular, zig-zaggy edges but in the shape of a bird. Lower edges form the shape of a distant wing and a beak on the right side, large body shape sticking out above, and closer wing shape on the top composed of prisms and trapezoid shapes. ""}","","","","","stimuli/114.jpg","hard","NaN","Angular, zig-zaggy edges but in the shape of a bird. Lower edges form the shape of a distant wing and a beak on the right side, large body shape sticking out above, and closer wing shape on the top composed of prisms and trapezoid shapes. ","45","",""
"","78657","survey-text","6","2.0.0","279359","pjebaekqr9v","","","","{""image_description"":""Medium-sized narrow trapezoid shape at an angle with three pointy spikes pointing to the left on the top straight edge, and a mishapen triangle coming off of the buttom right corner.""}","","","","","stimuli/74.jpg","medium","NaN","Medium-sized narrow trapezoid shape at an angle with three pointy spikes pointing to the left on the top straight edge, and a mishapen triangle coming off of the buttom right corner.","31","",""
"","133714","survey-text","7","2.0.0","413089","pjebaekqr9v","","","","{""image_description"":""Primarily composed of a trapezoid shape but looks like a fish. Slightly raised triangle on top right corner, an edge that strays away from the main mass on the bottom edge but then cuts back in to the shape like a fin, and then a long narrow triangle coming off of the bottom right corner going down, like a fish tail. ""}","","","","","stimuli/50.jpg","easy","NaN","Primarily composed of a trapezoid shape but looks like a fish. Slightly raised triangle on top right corner, an edge that strays away from the main mass on the bottom edge but then cuts back in to the shape like a fin, and then a long narrow triangle coming off of the bottom right corner going down, like a fish tail. ","61","",""
"","138094","survey-text","8","2.0.0","551200","pjebaekqr9v","","","","{""image_description"":""Almost shaped like a gun (sorry) that is pointing down. The shape kind of bottlenecks and comes back out at the bottom, making it look like there is a small circle on the bottom if viewed from the side, with a right angled corner where you would expect the trigger/handle to be, then an angled edge on top.""}","","","","","stimuli/58.jpg","medium","NaN","Almost shaped like a gun (sorry) that is pointing down. The shape kind of bottlenecks and comes back out at the bottom, making it look like there is a small circle on the bottom if viewed from the side, with a right angled corner where you would expect the trigger/handle to be, then an angled edge on top.","58","",""
"","74393","survey-text","9","2.0.0","625608","pjebaekqr9v","","","","{""image_description"":""Very very spikey and jagged all the way around. Lots of little points and triangle edges coming off og the sides, but with no rhyme or rhythm. Larger branch of shape on the left side and much more of the smaller jags on the right side of the shape. ""}","","","","","stimuli/154.jpg","hard","NaN","Very very spikey and jagged all the way around. Lots of little points and triangle edges coming off og the sides, but with no rhyme or rhythm. Larger branch of shape on the left side and much more of the smaller jags on the right side of the shape. ","49","",""
