"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","participant_gender","stimulus","response","timeout","failed_images","failed_audio","failed_video","figure","difficulty","response_time_seconds","text_response","word_count","response_index","question_order"
"true","13044","fullscreen","0","null","14059","pqjqugmkws8","","","","","","","","","","","","","","",""
"","4248","html-keyboard-response","1","2.0.0","18309","pqjqugmkws8","","","
    <div>
      <p>Welcome to our experiment!</p>
      <p>In each trial, you will see a shape. Describe the shape as accurately as you can in the provided textbox.</p>
      <p>Your description can be as long or as short as you’d like, from just a few words up to a whole paragraph if you feel that is necessary.</p>
      <p></p>
      <p>The next page will ask for participant ID.</p>
      <p></p>
      <p>After all the trials have been completed, the last page will ask for some demographic information.</p>
      <p></p>
      <p>Once you are ready to start, click any button.</p>
    </div>"," ","","","","","","","","","","",""
"","3068","survey-text","2","2.0.0","21382","pqjqugmkws8","","","","{""participant_id"":""jaguar""}","","","","","","","","","","",""
"true","","preload","3","2.0.0","22443","pqjqugmkws8","","","","","false","[]","[]","[]","","","","","","",""
"","42968","survey-text","4","2.0.0","65416","pqjqugmkws8","","","","{""image_description"":""A jagged, multi-part shape that has a bunch of sharp angles, that form three main sections.""}","","","","","stimuli/126.jpg","hard","NaN","A jagged, multi-part shape that has a bunch of sharp angles, that form three main sections.","16","",""
"","38196","survey-text","5","2.0.0","103616","pqjqugmkws8","","","","{""image_description"":""A shape that kind of looks like a little two legged creature with one large claw.""}","","","","","stimuli/118.jpg","hard","NaN","A shape that kind of looks like a little two legged creature with one large claw.","16","",""
"","22412","survey-text","6","2.0.0","126031","pqjqugmkws8","","","","{""image_description"":""An uneven trapezoid that is taller on the right side.""}","","","","","stimuli/6.jpg","easy","NaN","An uneven trapezoid that is taller on the right side.","10","",""
"","25668","survey-text","7","2.0.0","151703","pqjqugmkws8","","","","{""image_description"":""A shape that has the negative space of a jumping dog on the left.\n""}","","","","","stimuli/150.jpg","hard","NaN","A shape that has the negative space of a jumping dog on the left.
","14","",""
"","21507","survey-text","8","2.0.0","173213","pqjqugmkws8","","","","{""image_description"":""An abstract dog with a big head.""}","","","","","stimuli/110.jpg","hard","NaN","An abstract dog with a big head.","7","",""
"","39659","survey-text","9","2.0.0","212875","pqjqugmkws8","","","","{""image_description"":""A seven sided shape that looks almost like a distorted quadrilateral with a triangle sticking out of it.""}","","","","","stimuli/22.jpg","easy","NaN","A seven sided shape that looks almost like a distorted quadrilateral with a triangle sticking out of it.","18","",""
